,comments,label
287,아니길 바래.. 삼성...확실한 거 아니잖아 그치...?,
288,장난해? 난 필요하다고..,
289,"따라하네,,,",
290,너 왜그래,
291,와 진짜 너무들한다....,
292,뭐 별걸 다 따라하네..ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
293,따라할거면 조롱 하지나말지,
294,아.. 삼성 왜그래.............;,
295,아 배터리 왜그래 왜 그것까지 따라해,
296,그래도 c타입이니까 ...,
297,기존 애플 고객을 유입하는 건 어려워도 기존 안드로이드 이용자한텐 이어폰 말곤 크게 불편할 건 없을 듯 그래도 괘씸해요 가격이나 내리겨 팔지,
298,"아니 아직 빼지도 않았고 그냥 애플이 뺐으니까 삼성도 그럴거라고 분석된다고 해놓고 제목은 ""뺀다"" 이러면 어떡해욬ㅋㅋㅋㅋ 뭐 결정난줄알았네;",
299,근데 갤럭시는 확실히 충전기는 없어도 될 거 같기도 하고... 폰 바꿀때마다 어댑터랑 이어폰 하나씩 공짜로 얻는건 좋긴했는데,
300,뺄가면 폰 가격좀내려주세요,
301,예측인 거죠? 근데 왠지 애플에서 빼면 삼성도 뺄 거 같아요.. 어댑터는 빼도 케이블은 줬음 좋겠어요ㅠㅜ,
302,이어폰은 억지인게 아이폰은 거의 에어팟 출시와 동시에 이어폰단자 없앤거고 삼성은 그래도 무선 이어폰 시장이 충분히 보급된 뒤에 뺀거고그리고 일체형 배터리는 아이폰보다 소니가 먼저였는데아이폰이 맨날 먼저라고 하는 주장은 좀...이런글 맨날 분란만 일으키고 영양가도 없고,
303,이어폰은 왜여.... 가뜩이나 3.5파이 없어져서 유선쓰려면 그거밖에 없는데,
304,안돼...,
305,근데 충전기 너무 많아서... 가격만 싸다면 쓰레기 절감에 좋을 것 같아요.,
306,야너두?,
307,왜 자꾸 따라해요 S21로 바꾸려고 했는데 ㅠㅠ S20사야하나,
308,ㅈㅂ;,
309,오이잉?,
310,좋은거 따라하네,
311,가격만 낮춰준다면...좋아요 충전기 많아서 이어폰도 이제 블투 쓰고,
312,삼성은 c타입이니 명분이라도 있긴하네요..,
313,노트10 아직 판매하나요....,
314,그르즈마라 샘송...,
315,삼성의 전적은 뭔가요ㅋㅋㅋㅋ 확실한 것도 아닌데 기사 하나 덜렁 가져와서... 암만봐도 악의적으로 보이는데,
316,공식발표도 없는데 대체 왜 확정처럼 기사를.....,
317,엥 진짜 조롱했어요??!,
318,아 제발 따라하지 마,
319,야 너네까지 왜 그러냐...,
320,"신청하면 무료로 준다는 말같은데 그리고 언제 삼성이 그렇게 말했나요 확실한것도 아닌데 기사화를 시키는 기자들 정말,,,,,,",
321,오 신청하면 주는 게 맞죠! 이어폰 나뒹구는 거 처치 곤란이었는데... 대신 선택 안 한 사람에게 할인이나 다른 혜택을 주면 딱일 듯 욕도 안 먹고~,
322,그러니까 뺀다는게 확정된 것도 아닌데 확정된 것 마냥.. 제목 무엇..,
323,그리고 삼성은 어댑터 빼도 뭐.. C타입이라 이미 집에 c타입 충전기만 5개는 됩니다.. ☆ 가격이 정말 이어폰이랑 충전기를 뺀게 납득갈만하면 인정이요,
324,사전예약으로 다 주겠죠 뭥,
325,충전기는좀...,
326,난 유선이어폰에 동그란 구멍이 좋은데...,
327,이보쇼....이어폰은....,
328,c타입이라 충전기 빼고 가격 낮춰서 나오는 건 좋은데...,
329,이어폰 신청하면 주는건 좋은거 같아요. 버즈산뒤로 유선 이어폰 사용 안하는데..!,
330,가격만 빼준다면 환영입니다.  c타입 충전기.. 집에 몇개있어요ㅋㅋㅋ  새로 사도 기존 충전기 쓰는거라 뭐..    몇년써도 충전기  본체는 망가지지도 않더라구요. 연결선도 서비스센터 가서 사면 칠천원정도고,
331,❤️,
332,솔직히 이제 삼성-> 애플이나 애플-> 삼성 갈아타는 사람들 많이 안보여서 획기적인 정책같아요!!!,
333,이어폰은 몰라도 충전기는 진짜 왜그르는건지 ㅜㅜ... 생각보다 잘 고장나는데...,
334,진짜 샘송 너마저.....,
335,그만큼 가격은 저렴해지는거 맞죠?ㅠㅠ,
336,선택하먄 주는거 즇은듯,
337,응????,
338,"whyrano,,,,,",
339,삼성도 탄소배출 절감 지구를 위해 뺀다고 하겠네,
340,선택이면 진짜 좋은거 같아요!,
341,선택으로 해주세요...선택....,
342,결국 엘지로 가야 하는 건가......... 아아...,
343,"선택으로 바뀐다고 제목에 적지 기자뉨^^,,",
344,하..따라할거라 생각했지만 진짜 따라하니 빡ㅊㅋㅋㅋㅋㅋ,
345,충전기는 ㄱㅊ은데 이어퐄 단자 다시 생겼나요???,
346,아이폰 좀 안 따라했으면ㅠㅠ 아이폰 불편해서 삼성 쓰는데 아이폰이랑 같아지면 무슨 의미ㅠㅠ,
347,22,
348,삼성마저...,
349,쓸데없는 거만 따라하지 마용.... 이어폰 단자랑 분리형 배터리 충전기 다 좋아하는 건데 싹 사라지는 중.,
350,신청하면 준다는건 괜찮은듯 환경보호 핑계댈거면 이렇게라도 해라 애플 ㅋㅋㅋ,
351,오 신청해서 주는거면 상관 없지 않나요? 심지어 미국에선 무료로 준다고 써있네용,
352,애플 따라하기?,
353,아니 유선이어폰화질 따라갈 블투이어폰 없다구요...하...,
354,아 왜 자꾸 따라하냐구요...ㅠ,
355,"아.. 신청하면 주는구나... 하 근데 저게 진짜 좋은 환경지키기 방법 맞냐구요... 사람들은 계속 충전기,선을 살텐데....ㅠ",
356,신청하면 준다니 다행,
357,노트20에 이어폰 있었는데요....?? 지금은 안넣나요??,
358,s21부터 아닌가요?,
359,“미국에서” 네요,
360,내가 이럴 줄 알았지 증말,
361,빼는거에 왜 다들 반대하는거지...?집에 진짜로 다들 많잔아요.. 가격도 줄고...,
362,확실하지도 않은데,
363,삼성 충전기는 진짜 굴러다니지 않나요 더 받아봤자 필요 없는데.. 그리고 신청하면 준다는데요 뭘,
364,삼성 충전기는 빼도 괜찮을 듯..C타입이고 정품 충전기 가격 합리적,
365,삼성이랑 애플이랑은 다른 경우죠 갤럭시 시리즈 써본 사람은 알겠지만 충전기 남아납니다,
366,선택이면 좋은데요?? 빼는거만큼 합리적인 가격이겠쬬???,
367,그만둬.....,
368,선택할 수 있으면 괜찮을 것 같아요! 충전기는 이미 넘치고 넘쳐서 흑,
369,선택이라 너무 좋네요,
370,선택이면 좋은 거 아닌가요,
371,제정신인가...,
372,선택이면 좋을듯,
373,선택이면 좋아요,
374,신청하면 주는 거 좋다,
375,"애플이 양잿물 마시면, 따라 마실 기세",
376,이럴 줄 알았다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
377,이럴 줄 알았다... 야 그래도 삼성은 선택인데 ㅇㅐ플 이것들아 진짜 너넨 아 12 프로 산 나도 웃기네,
378,신청하면 주는 건 너무 좋은것같아요,
379,S21 나오는거 봐서..갈아탈지 계속 아이폰 쓸지..결정하겠다..삼성!!!,
380,아예 안주는거 아니고 선택이네 다행이다..  유선 이어폰 쓴다구여....,
381,아.. 충전기는 필요해...,
382,카메라 엄청 좋아보이네여,
383,오 갠차는뎅,
384,와 이게 무슨...,
385,이쁘다,
386,아이 색 별로에요오,
387,...,
388,카메라에 그렇게까지 많은 걸 바라지 않는데 ㅜㅜ,
389,구리다,
390,갤럭시는 진짜 디자인 좀.. ㅠㅠㅠ 갤럭시 쓰고 싶은데 디자인 때문에 쓰기 싫고 그래욬ㅋㅋㅋㅋ,
391,오 보라색 예쁘다,
392,22,
393,33,
394,엇 이 이쁜데 역시 보는 눈이 다 다르군요,
395,헐 예쁘다,
396,카메라가 많네요,
397,ㅇ ㅏ....갤럭시 왜 그래...,
398,색 조금만 원색에서 벗어나면 예쁠듯 ㅠ,
399,어머 너무 예쁜데 색깔만 좀 어케 해줘요 파스텔톤이 좋은데ㅠ,
400,색은 이쁜거 같은데... 디자인은 이제 저렇게 밖에 나오지 못하는 건가요...,
401,"아이폰 디자인+갤럭시 기능 원해요 제발,,,,,",
402,카메라 디자인만 잘 정리되면 괜찮은데,
403,디자인만 어떻게 하면 갤럭시 쓰고 싶어질 것 같은데 늘 디자인이...,
404,진짜 구리다 디자인부터 색상까지...,
405,색 왜저래여ㅠㅠㅜ늘,
406,카메랔ㅋㅋㅋㅋㅋ 오반데요..,
407,오 청록색 특이하다,
408,...후... 왜그랴...,
409,21쯤이면 인 디스플레이 카메라나 다른 기술 들어갈줄 알았는데... 아직 멀었나,
410,댑악 언제나올까요...  버티기 갑니다...,
